0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/js/SmoothScroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/js/theme-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/images/demo/main01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/images/demo/main02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/images/demo/main03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/images/demo/main04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/images/demo/wifi.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/images/demo/comfort.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/images/demo/coffee.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/images/demo/points.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/images/demo/branch01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/images/demo/branch02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/images/demo/branch03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:13:14 +0900] "GET /StudyCafe_2/js/bootstrap.min.js HTTP/1.1" 304 -
